Molecule,Value_2024,2024Units,Average Price 2024,Value_2023,2023Units,Average Price 2023,Value_2022,2022Units,Average Price 2022,Value_2021,2021Units,Average Price 2021,Value_2020,2020Units,Average Price 2020,Comp,Private,Adjusted Price,Selling Price,Penetration Rate,Forecasted Units,Revenue,Profit,5-Year Profit,CAGR
POLATUZUMAB VEDOTIN,11930159.0,342.0,34884.0,7997752.0,217.0,36856.0,2561480.0,47.0,54500.0,2070984.0,38.0,54500.0,,,,1,0.281923988,25840.0,10336.0,0.08,27.36,282792.96,141396.48,706982.4,
POLICOSANOL,182597.0,1648.0,111.0,185922.0,1678.0,111.0,,,,,,,,,,1,1.0,79.85611510791368,31.942446043165475,0.08,131.84,4211.292086330936,2105.646043165468,10528.230215827341,
POLIDOCANOL,1605780.0,89210.0,18.0,1666026.0,92557.0,18.0,1682041.0,93517.0,18.0,1415700.0,78650.0,18.0,641901.0,36486.0,18.0,3,0.990135635,12.949640287769785,5.179856115107914,0.08,7136.8,36967.59712230216,18483.79856115108,92418.9928057554,25.76346605181159
POLIGLUSAM,,,,,,,,,,14575.0,120.0,121.0,95146.0,779.0,122.0,3,,,,0.08,,,,,
POLIHEXANIDE,,,,,,,,,,,,,20311.0,964.0,21.0,1,,,,0.08,,,,,
POLLEN,53226.0,707.0,75.0,8446.0,246.0,34.0,33861.0,811.0,42.0,455175.0,5109.0,89.0,360849.0,3339.0,108.0,6,1.0,53.9568345323741,21.58273381294964,0.05,35.35,762.9496402877699,381.4748201438849,1907.3741007194246,-38.02741941410383
POLOXALKOL,538150.0,6523.0,83.0,405409.0,4914.0,83.0,16913.0,205.0,83.0,,,,27500.0,1250.0,22.0,2,1.0,59.71223021582734,23.884892086330936,0.08,521.84,12464.092086330937,6232.046043165468,31160.23021582734,110.32585482787663
POLOXAMER 407,21270.0,709.0,30.0,19800.0,660.0,30.0,6120.0,204.0,30.0,63660.0,2122.0,30.0,24270.0,809.0,30.0,1,1.0,21.58273381294964,8.633093525179858,0.08,56.72,489.6690647482015,244.83453237410075,1224.1726618705038,-3.2447747351928458
POLYCARBOPHIL,122162.0,1837.0,67.0,175563.0,2640.0,67.0,6384.0,96.0,67.0,,,,1350.0,30.0,45.0,2,1.0,48.201438848920866,19.280575539568346,0.08,146.96,2833.4733812949644,1416.7366906474822,7083.6834532374105,208.42572298139018
POLYDEXTROSE,279000.0,279.0,1000.0,142000.0,142.0,1000.0,7000.0,7.0,1000.0,,,,,,,1,0.935483871,740.7407407407406,296.29629629629625,0.08,22.32,6613.333333333332,3306.666666666666,16533.33333333333,
POLYGALA SENEGA,,,,,,,,,,924.0,28.0,33.0,24672.0,1192.0,21.0,2,,,,0.08,,,,,
POLYHEXAMETHYLBIGUANIDE,191016.0,6475.0,30.0,185645.0,6293.0,30.0,,,,,,,,,,1,1.0,21.58273381294964,8.633093525179858,0.08,518.0,4471.9424460431665,2235.9712230215832,11179.856115107916,
POLYMYXIN B,1916787.0,150071.0,13.0,1706896.0,132588.0,13.0,1525893.0,118562.0,13.0,1356171.0,104986.0,13.0,1228278.0,92965.0,13.0,2,0.913656551,9.352517985611511,3.7410071942446046,0.08,12005.68,44913.33525179856,22456.66762589928,112283.3381294964,11.768467327295195
POLYPHENOLS (UNSPECIFIED),,,,,,,15126.0,169.0,90.0,61488.0,687.0,90.0,32758.0,366.0,90.0,1,,,,0.08,,,,,
POLYSACCHARIDE (UNSPECIFIED),5670.0,30.0,189.0,95067.0,503.0,189.0,164293.0,862.0,191.0,677089.0,3479.0,195.0,522755.0,2707.0,193.0,2,1.0,135.97122302158274,54.3884892086331,0.08,2.4,130.53237410071944,65.26618705035972,326.33093525179856,-67.7283466496006
POLYSTYRENE,,,,19193.0,21.0,914.0,78595.0,86.0,914.0,89564.0,98.0,914.0,,,,1,,,,0.08,,,,,
POLYSTYRENE SULFONATE,112491.0,390.0,288.0,203638.0,706.0,288.0,598512.0,2075.0,288.0,1000598.0,3469.0,288.0,1229043.0,4261.0,288.0,1,0.0,201.39860139860141,80.55944055944057,0.08,31.2,2513.454545454546,1256.727272727273,6283.636363636365,-44.996835694107254
POLYVINYL ALCOHOL,1318896.0,85020.0,16.0,1162499.0,89423.0,13.0,1254110.0,96470.0,13.0,995696.0,76592.0,13.0,823888.0,63376.0,13.0,1,1.0,11.510791366906476,4.604316546762591,0.08,6801.6,31316.71942446044,15658.35971223022,78291.7985611511,12.482663989833265
POMALIDOMIDE,5248551.0,77.0,68163.0,3885291.0,57.0,68163.0,4089780.0,60.0,68163.0,3135498.0,46.0,68163.0,2522031.0,37.0,68163.0,1,0.974025974,50491.11111111111,20196.444444444445,0.08,6.16,124410.09777777779,62205.048888888894,311025.2444444445,20.108087110229178
